Week,Team,Opponent,Score,Opponent Score,Margin,Luck Score
1,Game of Throws,First and Ted,147.08,113.88,33.20000000000002,-0.75
1,First and Ted,Game of Throws,113.88,147.08,-33.20000000000002,-0.037
1,Team Kareem Pie ðŸ¥§,Hamilton Administration,113.88,105.08,8.799999999999997,0.173
1,Hamilton Administration,Team Kareem Pie ðŸ¥§,105.08,113.88,-8.799999999999997,-0.007
1,How I Metcalf Your Mother,To infinity and Bijan,107.34,102.92,4.420000000000002,0.478
1,To infinity and Bijan,How I Metcalf Your Mother,102.92,107.34,-4.420000000000002,-0.047
1,Jared's Pack Attack,The  Left Tacklers,115.6,103.36,12.239999999999995,-0.012
1,The  Left Tacklers,Jared's Pack Attack,103.36,115.6,-12.239999999999995,-0.036
1,Hawaii McLovins VIII,Amon a Mission,117.12,148.56,-31.439999999999998,0.042
1,Amon a Mission,Hawaii McLovins VIII,148.56,117.12,31.439999999999998,-0.898
2,First and Ted,To infinity and Bijan,133.24,159.68,-26.439999999999998,0.068
2,To infinity and Bijan,First and Ted,159.68,133.24,26.439999999999998,-0.527
2,How I Metcalf Your Mother,Game of Throws,100.74,110.68,-9.940000000000012,-0.006
2,Game of Throws,How I Metcalf Your Mother,110.68,100.74,9.940000000000012,0.377
2,The  Left Tacklers,Team Kareem Pie ðŸ¥§,149.26,95.36,53.89999999999999,-0.633
2,Team Kareem Pie ðŸ¥§,The  Left Tacklers,95.36,149.26,-53.89999999999999,0.5
2,Hawaii McLovins VIII,Jared's Pack Attack,94.52,139.8,-45.280000000000015,0.56
2,Jared's Pack Attack,Hawaii McLovins VIII,139.8,94.52,45.280000000000015,-0.293
2,Hamilton Administration,Amon a Mission,141.56,114.2,27.36,-0.305
2,Amon a Mission,Hamilton Administration,114.2,141.56,-27.36,0.024
3,The  Left Tacklers,Jared's Pack Attack,112.16,105.78,6.3799999999999955,0.228
3,Jared's Pack Attack,The  Left Tacklers,105.78,112.16,-6.3799999999999955,-0.043
3,To infinity and Bijan,Team Kareem Pie ðŸ¥§,165.08,148.04,17.04000000000002,-0.848
3,Team Kareem Pie ðŸ¥§,To infinity and Bijan,148.04,165.08,-17.04000000000002,0.088
3,How I Metcalf Your Mother,Hawaii McLovins VIII,106.88,86.14,20.739999999999995,-0.0
3,Hawaii McLovins VIII,How I Metcalf Your Mother,86.14,106.88,-20.739999999999995,0.8
3,Amon a Mission,First and Ted,107.1,113.38,-6.280000000000001,0.016
3,First and Ted,Amon a Mission,113.38,107.1,6.280000000000001,0.065
3,Hamilton Administration,Game of Throws,120.92,121.46,-0.539999999999992,0.154
3,Game of Throws,Hamilton Administration,121.46,120.92,0.539999999999992,-0.051
4,Team Kareem Pie ðŸ¥§,Amon a Mission,140.58,136.6,3.980000000000018,-0.357
4,Amon a Mission,Team Kareem Pie ðŸ¥§,136.6,140.58,-3.980000000000018,0.177
4,Hamilton Administration,Hawaii McLovins VIII,103.5,126.14,-22.64,-0.137
4,Hawaii McLovins VIII,Hamilton Administration,126.14,103.5,22.64,0.119
4,The  Left Tacklers,How I Metcalf Your Mother,132.26,133.5,-1.240000000000009,0.118
4,How I Metcalf Your Mother,The  Left Tacklers,133.5,132.26,1.240000000000009,0.072
4,Game of Throws,To infinity and Bijan,98.92,128.24,-29.320000000000007,0.733
4,To infinity and Bijan,Game of Throws,128.24,98.92,29.320000000000007,-0.2
4,Jared's Pack Attack,First and Ted,127.76,137.92,-10.159999999999982,0.034
4,First and Ted,Jared's Pack Attack,137.92,127.76,10.159999999999982,-0.264
5,Jared's Pack Attack,How I Metcalf Your Mother,100.76,134.84,-34.08,-0.027
5,How I Metcalf Your Mother,Jared's Pack Attack,134.84,100.76,34.08,-0.242
5,Team Kareem Pie ðŸ¥§,Game of Throws,174.7,92.06,82.63999999999999,-0.7
5,Game of Throws,Team Kareem Pie ðŸ¥§,92.06,174.7,-82.63999999999999,0.567
5,Hawaii McLovins VIII,The  Left Tacklers,123.88,105.16,18.72,0.149
5,The  Left Tacklers,Hawaii McLovins VIII,105.16,123.88,-18.72,0.004
5,Hamilton Administration,First and Ted,127.64,123.52,4.1200000000000045,0.1
5,First and Ted,Hamilton Administration,123.52,127.64,-4.1200000000000045,0.092
5,Amon a Mission,To infinity and Bijan,128.14,122.62,5.519999999999982,0.022
5,To infinity and Bijan,Amon a Mission,122.62,128.14,-5.519999999999982,0.072
6,Hamilton Administration,To infinity and Bijan,113.0,114.62,-1.6200000000000045,0.054
6,To infinity and Bijan,Hamilton Administration,114.62,113.0,1.6200000000000045,0.349
6,First and Ted,The  Left Tacklers,101.26,120.0,-18.739999999999995,-0.034
6,The  Left Tacklers,First and Ted,120.0,101.26,18.739999999999995,0.132
6,How I Metcalf Your Mother,Game of Throws,101.7,155.46,-53.760000000000005,0.278
6,Game of Throws,How I Metcalf Your Mother,155.46,101.7,53.760000000000005,-0.678
6,Team Kareem Pie ðŸ¥§,Jared's Pack Attack,150.9,135.92,14.980000000000018,-0.294
6,Jared's Pack Attack,Team Kareem Pie ðŸ¥§,135.92,150.9,-14.980000000000018,0.126
6,Amon a Mission,Hawaii McLovins VIII,150.38,88.32,62.06,-0.5
6,Hawaii McLovins VIII,Amon a Mission,88.32,150.38,-62.06,0.633
7,The  Left Tacklers,Hamilton Administration,106.94,101.12,5.819999999999993,0.353
7,Hamilton Administration,The  Left Tacklers,101.12,106.94,-5.819999999999993,-0.045
7,How I Metcalf Your Mother,To infinity and Bijan,122.38,105.64,16.739999999999995,-0.32
7,To infinity and Bijan,How I Metcalf Your Mother,105.64,122.38,-16.739999999999995,-0.08
7,Jared's Pack Attack,Amon a Mission,134.2,112.74,21.459999999999994,-0.667
7,Amon a Mission,Jared's Pack Attack,112.74,134.2,-21.459999999999994,-0.033
7,Game of Throws,Hawaii McLovins VIII,96.16,108.08,-11.920000000000002,-0.109
7,Hawaii McLovins VIII,Game of Throws,108.08,96.16,11.920000000000002,0.096
7,First and Ted,Team Kareem Pie ðŸ¥§,135.64,134.8,0.839999999999975,-0.326
7,Team Kareem Pie ðŸ¥§,First and Ted,134.8,135.64,-0.839999999999975,0.218
8,Hamilton Administration,Team Kareem Pie ðŸ¥§,139.92,129.7,10.219999999999999,0.135
8,Team Kareem Pie ðŸ¥§,Hamilton Administration,129.7,139.92,-10.219999999999999,0.034
8,To infinity and Bijan,Amon a Mission,163.38,111.8,51.58,-0.633
8,Amon a Mission,To infinity and Bijan,111.8,163.38,-51.58,0.5
8,First and Ted,Game of Throws,155.58,162.34,-6.759999999999991,0.136
8,Game of Throws,First and Ted,162.34,155.58,6.759999999999991,-0.121
8,Jared's Pack Attack,How I Metcalf Your Mother,104.84,124.7,-19.86,-0.098
8,How I Metcalf Your Mother,Jared's Pack Attack,124.7,104.84,19.86,0.41
8,Hawaii McLovins VIII,The  Left Tacklers,174.12,136.2,37.920000000000016,-0.657
8,The  Left Tacklers,Hawaii McLovins VIII,136.2,174.12,-37.920000000000016,0.002
9,Jared's Pack Attack,Amon a Mission,109.22,130.38,-21.159999999999997,-0.063
9,Amon a Mission,Jared's Pack Attack,130.38,109.22,21.159999999999997,0.015
9,Game of Throws,The  Left Tacklers,166.6,150.34,16.25999999999999,-0.411
9,The  Left Tacklers,Game of Throws,150.34,166.6,-16.25999999999999,0.13
9,To infinity and Bijan,Hamilton Administration,124.5,168.8,-44.30000000000001,-0.042
9,Hamilton Administration,To infinity and Bijan,168.8,124.5,44.30000000000001,-0.833
9,First and Ted,How I Metcalf Your Mother,145.42,103.24,42.17999999999999,-0.368
9,How I Metcalf Your Mother,First and Ted,103.24,145.42,-42.17999999999999,0.635
9,Team Kareem Pie ðŸ¥§,Hawaii McLovins VIII,124.4,110.3,14.100000000000009,0.288
9,Hawaii McLovins VIII,Team Kareem Pie ðŸ¥§,110.3,124.4,-14.100000000000009,-0.028
10,Amon a Mission,Team Kareem Pie ðŸ¥§,109.14,131.94,-22.799999999999997,0.011
10,Team Kareem Pie ðŸ¥§,Amon a Mission,131.94,109.14,22.799999999999997,-0.224
10,To infinity and Bijan,Jared's Pack Attack,140.8,115.14,25.66000000000001,-0.394
10,Jared's Pack Attack,To infinity and Bijan,115.14,140.8,-25.66000000000001,0.035
10,Hamilton Administration,How I Metcalf Your Mother,118.3,105.0,13.299999999999997,0.164
10,How I Metcalf Your Mother,Hamilton Administration,105.0,118.3,-13.299999999999997,-0.026
10,The  Left Tacklers,First and Ted,146.12,93.88,52.24000000000001,-0.7
10,First and Ted,The  Left Tacklers,93.88,146.12,-52.24000000000001,0.567
10,Game of Throws,Hawaii McLovins VIII,123.48,105.94,17.540000000000006,-0.024
10,Hawaii McLovins VIII,Game of Throws,105.94,123.48,-17.540000000000006,-0.006
11,First and Ted,How I Metcalf Your Mother,108.64,101.08,7.560000000000002,0.565
11,How I Metcalf Your Mother,First and Ted,101.08,108.64,-7.560000000000002,-0.059
11,Game of Throws,To infinity and Bijan,143.96,143.18,0.7800000000000011,-0.044
11,To infinity and Bijan,Game of Throws,143.18,143.96,-0.7800000000000011,0.156
11,Jared's Pack Attack,Hamilton Administration,150.84,101.28,49.56,-0.633
11,Hamilton Administration,Jared's Pack Attack,101.28,150.84,-49.56,0.5
11,Hawaii McLovins VIII,Team Kareem Pie ðŸ¥§,155.78,143.0,12.780000000000001,-0.372
11,Team Kareem Pie ðŸ¥§,Hawaii McLovins VIII,143.0,155.78,-12.780000000000001,0.107
11,Amon a Mission,The  Left Tacklers,116.18,135.04,-18.859999999999985,-0.005
11,The  Left Tacklers,Amon a Mission,135.04,116.18,18.859999999999985,0.113
12,Jared's Pack Attack,Team Kareem Pie ðŸ¥§,118.82,91.56,27.25999999999999,-0.049
12,Team Kareem Pie ðŸ¥§,Jared's Pack Attack,91.56,118.82,-27.25999999999999,0.716
12,Hawaii McLovins VIII,First and Ted,147.62,131.7,15.920000000000016,-0.526
12,First and Ted,Hawaii McLovins VIII,131.7,147.62,-15.920000000000016,0.102
12,How I Metcalf Your Mother,Hamilton Administration,117.16,121.38,-4.219999999999999,0.01
12,Hamilton Administration,How I Metcalf Your Mother,121.38,117.16,4.219999999999999,0.305
12,Amon a Mission,Game of Throws,151.88,122.36,29.519999999999996,-0.867
12,Game of Throws,Amon a Mission,122.36,151.88,-29.519999999999996,-0.017
12,To infinity and Bijan,The  Left Tacklers,130.08,112.56,17.52000000000001,-0.162
12,The  Left Tacklers,To infinity and Bijan,112.56,130.08,-17.52000000000001,-0.074
13,The  Left Tacklers,Amon a Mission,126.56,133.18,-6.6200000000000045,0.027
13,Amon a Mission,The  Left Tacklers,133.18,126.56,6.6200000000000045,0.242
13,Team Kareem Pie ðŸ¥§,How I Metcalf Your Mother,135.2,149.84,-14.640000000000015,0.081
13,How I Metcalf Your Mother,Team Kareem Pie ðŸ¥§,149.84,135.2,14.640000000000015,-0.475
13,Hamilton Administration,First and Ted,111.02,146.54,-35.519999999999996,0.6
13,First and Ted,Hamilton Administration,146.54,111.02,35.519999999999996,-0.6
13,Jared's Pack Attack,Game of Throws,116.16,143.22,-27.060000000000002,-0.094
13,Game of Throws,Jared's Pack Attack,143.22,116.16,27.060000000000002,-0.375
13,To infinity and Bijan,Hawaii McLovins VIII,140.28,117.38,22.900000000000006,-0.23
13,Hawaii McLovins VIII,To infinity and Bijan,117.38,140.28,-22.900000000000006,-0.057
14,Hamilton Administration,Game of Throws,188.08,119.72,68.36000000000001,-0.767
14,Game of Throws,Hamilton Administration,119.72,188.08,-68.36000000000001,0.367
14,To infinity and Bijan,First and Ted,164.6,177.46,-12.860000000000014,0.16
14,First and Ted,To infinity and Bijan,177.46,164.6,12.860000000000014,-0.292
14,Team Kareem Pie ðŸ¥§,The  Left Tacklers,146.0,159.86,-13.860000000000014,0.091
14,The  Left Tacklers,Team Kareem Pie ðŸ¥§,159.86,146.0,13.860000000000014,-0.035
14,Hawaii McLovins VIII,Jared's Pack Attack,110.92,130.84,-19.92,-0.04
14,Jared's Pack Attack,Hawaii McLovins VIII,130.84,110.92,19.92,0.239
14,Amon a Mission,How I Metcalf Your Mother,122.16,81.7,40.459999999999994,0.172
14,How I Metcalf Your Mother,Amon a Mission,81.7,122.16,-40.459999999999994,-0.124
